povrate60,mort_age59_related_postHS,census1960_pop,census1960_pctsch1417,census1960_pctsch534,census1960_pctsch25plus,census1960_pop1417,census1960_pop534,census1960_pop25plus,census1960_pcturban,census1960_pctblack
58.209354,3.4520254,56866,85.800003,0.55873924,32.599998,4399,28618,26481,50.099998,57.700001
49.628716,0,42292,80.300003,0.53145552,17.5,3307,19313,22534,17,2
47.932415,0,30189,86.199997,0.52779704,25.200001,2396,14426,15796,22.4,33.700001
47.245808,0,33848,87.300003,0.52112675,25,2743,16756,16691,50.700001,32.700001
35.826748,0,98606,86.099998,0.53241438,28.9,7033,46646,51879,71.099998,15.4
52.51355,0,16141,82.900002,0.55310512,20.9,1314,7391,8889,26.200001,15.9
49.874001,0,22363,85,0.51924741,20.6,1795,10417,12071,30.1,5.5999999
53.809502,4.7562428,22899,78.400002,0.50171298,21.1,1883,10508,12003,17.200001,15.1
77.78582,8.9581652,13863,90.400002,0.62579781,17.4,1216,6737,6143,20.5,81.300003
70.75676,0,20524,86.300003,0.6048699,18.299999,1683,9569,8818,15.8,70.699997
64.056786,7.2939458,15859,83.5,0.58070153,19.1,1408,7441,7711,33.799999,45.599998
46.032688,2.8747196,50661,86.400002,0.56071025,29.4,3843,24724,26560,62,27.299999
52.100143,4.3614793,37443,82.199997,0.50748062,17.4,3121,18314,18688,25.5,6.0999999
30.840883,1.4783195,636496,85.5,0.5022791,36.799999,40993,301432,341992,84.599998,34.599998
46.945538,0,14507,76.400002,0.49517685,17.9,1126,6531,7903,0,14.7
35.300106,6.0412922,61690,83.400002,0.52424163,32.700001,4326,30526,31681,51.400002,11.8
56.771191,6.5789475,24916,79.599998,0.52708369,17.799999,2186,12406,11850,0,22.299999
42.510731,1.766098,50395,83.599998,0.6176995,35.900002,3483,28046,21898,64.199997,36.599998
49.06786,0,37489,80.5,0.52242029,23.9,2949,18510,17961,25.6,20.9
76.947334,6.3856959,15883,85,0.61577225,18.6,1472,7938,6332,0,80.699997
60.517235,4.3256335,27413,87.900002,0.65700483,29.5,2091,13041,13277,13.3,83.400002
29.391495,2.8470075,119011,82.699997,0.46667731,43,7429,62645,57301,63.900002,18.700001
63.184452,0,28284,84.800003,0.58973593,23.6,2215,13367,12827,36.5,62.099998
52.759903,3.8317113,22215,84.5,0.53270751,19.1,1830,10120,12139,13.3,3.3
41.137676,1.7736472,48054,83.199997,0.50234461,23.799999,3532,23458,25327,46.799999,2.3
31.982508,2.1056747,317383,87.900002,0.52096593,37.900002,21808,157446,156735,86.099998,32.099998
62.368958,0,22996,85.800003,0.58466482,21.799999,1972,11203,10613,16.200001,50.599998
36.756565,5.0379248,169937,88,0.51258421,44.700001,10817,83875,86486,84.400002,38.099998
36.461369,3.6956735,61621,82.800003,0.4776563,32.799999,4076,29270,32151,56.599998,12.6
75.13681,6.6374617,17295,85.400002,0.5971812,22.200001,1558,8798,7902,21.9,65.699997
58.915573,0,21988,87.099998,0.56149429,21.6,1839,10627,10721,14.6,44.700001
61.9207,0,26377,85.900002,0.61469275,24.799999,2134,12564,13048,49.099998,41.299999
50.720825,0,19928,79.800003,0.52983212,20,1492,8816,10738,27.1,25.5
49.997887,2.2016249,47610,82.5,0.52538621,17.200001,3719,23950,21947,59.599998,49.400002
44.420078,2.712085,25365,85.400002,0.55440038,18,2084,12408,13080,17.700001,16.799999
45.083767,0,32694,82.699997,0.54865015,23.200001,2509,16187,15959,8.6000004,18.9
73.843216,0,20880,93.900002,0.6540004,20.200001,1702,9974,8998,14.6,76.300003
45.342716,4.2081637,66629,88.199997,0.55134827,27.700001,5445,33302,31941,54.200001,32
40.672295,0,34656,82.400002,0.5234769,24.700001,2573,16463,18755,51,28.9
40.569523,3.6667309,110215,82.900002,0.54874104,34,7037,55682,55466,70.400002,28.700001
44.656731,0,55467,67,0.5510456,20.5,4434,25918,28718,25.799999,10.3
54.223682,0,16529,86.099998,0.56717354,19.9,1428,7957,6871,0,32.700001
78.654282,6.1236987,18691,85.5,0.6295017,20.299999,1933,9552,8086,0,77.900002
50.543728,0,15273,77.5,0.50737953,18.6,1304,7182,7965,25.200001,0.5
28.93401,,1612,,,,,,,,
15.296462,,4051,,,,,,,,
25.460123,,2986,,,,,,,,
20.989305,,1745,,,,,,,,
22.276823,,2846,,,,,,,,
21.14061,,5249,,,,,,,,
30.234549,,6222,,,,,,,,
18.523003,,7269,,,,,,,,
28.651089,,6097,,,,,,,,
31.107693,,3887,,,,,,,,
82.458588,,5171,,,,,,,,
75.409836,,1986,,,,,,,,
50.367764,,3996,,,,,,,,
65.323738,,1595,,,,,,,,
49.56868,,2010,,,,,,,,
75.490814,,3262,,,,,,,,
59.356495,,5605,,,,,,,,
93.071671,,3049,,,,,,,,
,,,,,,,,,,
66.053902,4.762434,29339,79.5,0.51656944,20.799999,2587,17140,11324,0,2.5
24.870682,2.5927222,55443,88.699997,0.48977256,44.5,3514,27964,27132,45.299999,2.4000001
34.775528,2.7553902,41152,86.199997,0.55248082,42.900002,2728,22513,18575,59.099998,2.8
29.218288,0,25232,91.099998,0.62178248,34.099998,1867,12432,13032,46.900002,0.40000001
35.830643,4.5326805,14317,85,0.5858407,40.299999,1375,7345,6487,33.099998,2.5999999
22.924339,7.5924377,11970,94.800003,0.63610506,34.299999,1013,5977,5537,36.400002,0.40000001
20.928204,2.3802805,663268,85.099998,0.53194052,47.700001,42917,322803,346702,86.5,3.8
24.662455,0,8096,89.099998,0.58268887,42.099998,515,3362,4292,58.5,0.2
52.000443,1.2644622,36504,73.900002,0.50838292,32.900002,2934,20339,15540,32.400002,2
20.232365,1.9967952,263546,90.199997,0.55987215,51.700001,16492,128908,138712,88.300003,3
38.994263,2.2202981,64117,80.5,0.52497274,29.4,4618,32996,29002,44,5.9000001
35.748341,4.7129793,10776,93.400002,0.54174644,39.700001,758,5222,5490,67.400002,1
23.267536,2.3063796,29280,93.699997,0.58883077,42.799999,2052,11854,17173,44.5,0.5
24.908281,0,46081,88.099998,0.47703239,39.700001,3080,23642,23578,57.900002,3.7
45.903023,0,23712,85.5,0.53739101,28.4,1692,10778,12447,54.299999,24.6
47.212372,3.8424592,25166,90.199997,0.57433528,25.4,1953,11697,12225,34.200001,36.700001
45.160381,0,10688,88.5,0.62246829,30,709,3703,6311,0,0
39.404728,3.4035022,36402,93.300003,0.5898338,33.400002,2407,14499,22058,36.700001,0.1
44.082638,0,16235,86.199997,0.51404709,31.6,1068,6585,9762,40.799999,0
50.993332,0,14404,89.400002,0.57220882,23.1,1063,6225,7673,48.099998,35.099998
58.799274,0,6063,92.900002,0.63200933,20.9,486,2568,3330,0,35.200001
45.898472,8.9702187,11391,79.599998,0.46932161,29.1,753,4319,7160,0,0.1
67.343369,0,18952,84.5,0.57937348,20.4,1501,8523,9765,54,56.599998
47.135693,0,20957,94.199997,0.66420072,30.1,1568,10003,10916,38.5,25.799999
49.476391,6.239471,21498,80.099998,0.55392361,16.9,1860,9532,11860,13.1,0
57.210979,8.6933842,9447,85.800003,0.54950494,21.5,721,3838,5359,0,0
58.14674,0,7106,90.800003,0.5987553,17,574,3053,3820,0,24.5
46.162537,0,26970,90.800003,0.57586288,30.5,1931,12371,14154,40.299999,36
52.216358,11.731582,15323,94.5,0.62463641,24.5,1292,6876,8443,38.900002,22
41.630791,0,47960,85.400002,0.54914904,27.299999,3769,23327,24435,45.299999,3.3
46.090042,0,21743,86.5,0.59558427,23.299999,1625,9285,11976,31.799999,2.5
63.395897,1.8716778,48148,82.900002,0.55128795,20.799999,3812,24031,21400,40.700001,58.900002
60.744053,0,19765,88.599998,0.60789722,19.5,1800,9421,9486,25.200001,30.200001
57.589245,0,10681,87.900002,0.6093716,23.799999,821,4567,5852,37,39.799999
59.622135,0,21667,86.099998,0.58067793,21.299999,1712,9854,10142,38.5,48
55.92202,0,15697,88.900002,0.63159347,22.200001,1240,7242,7707,29,33.900002
45.382095,2.7902565,24241,85.599998,0.60301375,32.099998,1719,11547,12902,40.299999,10.7
50.218716,0,10574,87.800003,0.54580522,24,778,4148,6058,0,1.2
63.320522,0,6505,92.099998,0.61252815,16.6,514,2666,4069,0,0
39.001122,6.1518273,47083,90.199997,0.56105244,33.099998,2860,18091,29165,60.700001,10.6
46.53896,0,8509,95,0.57615894,23.799999,670,3624,4732,0,6.9000001
49.75391,0,25275,79.400002,0.5239805,20.4,2115,11697,13804,39.5,0.1
52.37788,5.1419168,20247,90.699997,0.59178865,26.299999,1537,8062,11387,42.700001,37.299999
37.149448,4.5526977,22552,92.300003,0.56504226,28.1,1682,10178,12010,43.700001,14.6
46.528404,0,11260,91.900002,0.57690573,27.299999,786,4434,6508,32.900002,20.799999
55.913651,4.2165627,19822,87.199997,0.55201524,24.700001,1401,8411,11937,31,2.5999999
60.489563,0,6659,93.199997,0.56352985,16.6,507,2731,4173,0,0.80000001
46.606544,5.2918453,23922,78.699997,0.56613564,20.1,1999,10985,11910,30.700001,15.2
47.889481,6.1227236,82751,90,0.57040942,30.9,5967,39249,40928,57.400002,43.5
53.431969,7.1772051,12593,86.099998,0.58494323,25,881,5021,7407,31.6,2.0999999
59.298065,0,11739,87.599998,0.58839053,22.4,899,4927,5852,23.5,45.099998
60.561771,0,16778,81,0.53247583,19.4,1438,7852,9343,20.5,0.89999998
71.608673,0,21525,81.5,0.59213758,14.2,1813,10175,9705,24.4,60.900002
62.441208,0,15066,82,0.49402562,17.4,1081,7030,7466,0,48.400002
55.244831,0,9333,89.900002,0.58214909,22.5,773,4011,5066,29.6,31.299999
55.059425,0,16296,84.599998,0.59022802,22.5,1156,6140,9886,35.700001,2
55.25238,0,25542,89.599998,0.58924139,22.9,1962,11284,12693,11.7,23.799999
61.221809,0,9134,88.900002,0.63031566,14.2,766,3833,5260,0,0
55.299919,0,6097,87,0.595092,28.799999,468,2282,3773,0,0
46.453438,0,31852,87.199997,0.55864978,28.299999,2351,14220,17449,64.300003,25.5
59.189049,1.6366345,70983,77.400002,0.50312358,22.6,5496,35856,32792,38.5,29.5
67.099312,29.895367,16857,81.199997,0.56843251,19,1461,8249,8391,26.799999,48.5
51.055878,0,5398,91,0.57207209,21.299999,399,2220,3196,0,0.40000001
57.833225,10.430792,10781,86.199997,0.59145379,20.6,904,4423,6219,33,36
73.037659,0,5975,79,0.57999265,14,552,2719,3202,0,0
44.673626,0,32115,88.099998,0.55100793,30.1,2348,14684,17014,50,38.400002
62.10075,15.092062,4713,79,0.61812919,19.200001,413,2074,2824,0,3.2
62.655258,2.632133,44681,80.699997,0.55661935,19.700001,3413,21203,20857,45.200001,57.5
53.854874,0,7946,89.599998,0.5977723,19,643,3232,4683,0,4.3000002
58.401943,0,30929,78.300003,0.53061616,16.9,2838,15727,14654,25.1,10.5
47.760696,0,12077,86.300003,0.56952941,23.799999,915,4739,7331,36.599998,0
46.944046,0,21713,87.199997,0.58981264,27.5,1463,9659,11792,42.099998,3.2
50.707546,10.723861,11024,90.099998,0.59454894,21.700001,865,4733,5696,0,18.5
28.475325,2.001014,246472,86.800003,0.50155663,46.799999,14443,113064,133348,82.099998,21.4
53.559456,14.878738,12571,85.5,0.56690729,21.1,940,5403,7095,29.299999,1.3
69.189583,2.9663029,33387,82.400002,0.56843889,19,2889,16533,15003,31.700001,56.700001
29.121527,0,29331,89.300003,0.51398987,25,2010,12652,17126,35.900002,6.4000001
60.255539,0,7357,81.800003,0.53536707,17,595,2983,4372,0,0
64.451294,0,8117,77.099998,0.59137928,15.7,665,3480,4673,0,0
31.147223,2.3476658,67614,89.400002,0.55111217,40,4557,29582,37790,79.5,6.8000002
43.140095,0,10366,87.199997,0.5728631,26.5,749,4083,6081,28.200001,9.3999996
62.540516,0,6479,92.300003,0.58730161,21.799999,487,2457,3911,0,0
67.596031,0,6456,84.199997,0.55374825,16.6,510,2828,3521,0,0
36.603298,0,50103,90.199997,0.54225481,38.200001,3414,22388,27435,51.099998,30.4
62.790035,0,7025,85.5,0.56032079,16.9,565,2868,4416,0,1.3
34.66954,2.6941469,56525,85.400002,0.59442723,39.099998,3394,27132,29715,54.400002,0.80000001
46.873001,0,33658,86.5,0.59262276,24.1,2451,14721,18435,22.200001,3.8
66.275085,9.7665787,14370,84.300003,0.62727553,19.299999,1228,6482,7025,0,41.099998
53.01746,13.353809,11798,85.699997,0.5920608,22.1,872,4736,7245,0,3.5999999
32.712765,136.05443,376,0,0.28877005,32.900002,22,187,214,0,1.8
16.584635,0,10322,91.699997,0.74276745,45.900002,1156,4459,5566,0,1.8
19.16839,2.1441972,83214,92.900002,0.64333636,45.299999,5500,35176,47683,53.099998,1.1
22.045916,9.154994,12035,95.099998,0.61180478,47.5,861,5286,6846,29.1,0.89999998
23.913412,2.7071719,365558,87.699997,0.57727647,40.799999,25223,177719,191284,67.300003,4.8000002
18.737164,0,17444,92.800003,0.57946336,44.700001,1262,7752,9707,38.700001,0.30000001
26.177589,3.2393911,72790,86.800003,0.51764965,33.799999,4720,36318,37461,63.5,4.0999999
18.155096,0,11695,97,0.60119784,52.5,716,4842,7040,24.6,0
21.302902,1.9487262,292739,89.400002,0.57305104,42,20509,144399,150368,68.099998,5.6999998
30.863655,2.7590773,50471,90.099998,0.59624392,33.799999,3894,24334,25578,41.700001,5.1999998
22.326252,5.0246205,13993,88.599998,0.61251372,40.099998,800,4555,9249,0,0.1
29.671404,1.8497965,40346,86.300003,0.58889574,32.599998,3303,19416,21042,46.799999,6.9000001
24.85561,0,5252,85,0.51228631,48.099998,295,1872,3310,0,0.60000002
17.904318,0,51865,87.900002,0.55581474,41.400002,3378,22718,28953,34.700001,0.40000001
26.581837,0,91217,87.800003,0.51745236,39.200001,6041,45925,44924,36.099998,5.5999999
19.658033,2.4938798,199146,74.599998,0.42729497,49.400002,11891,105873,98460,58.5,4
17.730431,3.1676645,21507,95.5,0.61562502,46.200001,1446,8000,13095,23.299999,0.1
17.154062,0,11813,93.599998,0.58765972,44.599998,811,5008,6734,23.4,2
18.885666,2.7242918,308142,91.300003,0.56014246,49.400002,18546,139261,169800,67.599998,4.0999999
22.615458,0,15162,91.300003,0.59365624,34.400002,1095,6999,8446,39.400002,0.40000001
16.868855,2.1270854,504041,91.400002,0.55764937,48.400002,30876,238320,271203,74.400002,3.4000001
15.500007,3.4646735,739733,90.300003,0.49141079,51,31978,287570,492121,100,10
19.487362,1.0237021,251321,85.599998,0.5595727,36.900002,16015,113928,140311,73.300003,4.6999998
19.175323,2.1405714,81103,90.800003,0.590074,46,5181,36631,46062,55.900002,1.8
20.798149,0.80844009,83945,90.199997,0.58356661,43.099998,4734,31083,53815,59.900002,0.60000002
15.455306,0,60270,92.900002,0.59566969,46.799999,4110,27804,32351,50,0.69999999
16.380983,1.496991,133953,92.099998,0.48875028,49.099998,7658,67335,70072,79.099998,9.5
18.575953,2.2683246,148239,88.400002,0.56895512,43.900002,9776,63128,85205,44.900002,0.60000002
22.356739,1.7871743,156572,88.5,0.57375526,36.5,11068,70978,87849,52.700001,0.69999999
18.291862,2.283783,33141,91.5,0.58486617,44.700001,2353,15766,17943,44.099998,0.60000002
17.459381,6.7301545,25677,94.199997,0.59331429,46.299999,1810,11547,14011,40.299999,0.2
28.369936,4.9073839,170118,85.300003,0.5702253,33.099998,13215,80256,87971,44,1.8
16.141487,9.1983624,14599,96,0.59247649,46.200001,909,5742,8971,18.9,0.60000002
15.378343,1.5053797,199705,89,0.50812358,47,11968,98417,105492,61.900002,1.8
21.406294,2.2176883,33977,87.199997,0.52313334,40.599998,2146,16902,17394,60.599998,2.9000001
29.909615,0,10147,89.800003,0.65278316,45.700001,691,5138,4809,62.099998,0.5
47.856106,0,2752,0,0.50120288,31.6,204,1247,1334,0,0.40000001
30.696005,0,6412,92.599998,0.56198633,33,448,2920,3433,0,0
28.976772,0,7521,91.400002,0.62116039,40.400002,482,3223,4253,45.900002,0.40000001
23.408752,0,8450,75.900002,0.49945265,41.400002,605,3654,4683,55,0.30000001
20.298084,0,2818,96,0.62903225,42.200001,226,1302,1444,0,0
52.986828,0,8534,86.800003,0.63745946,29.299999,707,4314,3763,0,0
61.866726,0,4382,71.699997,0.5984503,20.6,403,2194,1872,0,0
37.81493,0,4247,90.199997,0.58880091,29.200001,299,1768,2185,0,0.1
34.606392,0,1283,0,0.5,29.299999,86,528,805,0,0
33.083366,0,16072,91.699997,0.60141093,38.700001,1176,6237,9248,24.6,0
16.365047,0.86941147,492947,86,0.52033162,53.400002,25868,218674,286394,100,6.0999999
19.118401,0,1960,0,0.49729729,36.599998,127,1110,1082,0,0
16.159496,9.4015884,4846,98.800003,0.55565822,50.299999,309,2165,2714,0,0
31.911404,0,4892,95.900002,0.50352734,40.700001,306,2268,2324,0,0
29.733263,0,3843,95.300003,0.63274622,39.200001,270,1533,2180,0,0.2
16.724419,2.5717802,143734,86.5,0.50894111,61.099998,8121,72586,73520,76,3.5
24.901768,0,20349,88.599998,0.49523136,35.599998,1385,8493,12523,58.400002,1
15.412511,0,12219,90.5,0.56474102,45.200001,808,5020,6978,30.299999,0.1
20.383276,0,3465,92.5,0.56195241,50.299999,250,1598,2016,0,0.2
24.452999,18.099548,5435,94.300003,0.64864862,56,299,3034,2552,63.5,0.2
43.13356,0,7997,93.699997,0.64640236,23.9,604,3405,4362,64.5,0.69999999
17.822966,0,2518,0,0.57567567,45.900002,159,1110,1314,0,0.30000001
21.309608,0,7047,96.300003,0.5939728,41,510,3086,3833,0,0
16.315714,0,7060,86,0.50188881,44.200001,413,3706,3425,56.400002,0
24.92181,0,19423,92.300003,0.57964838,52.700001,1228,9385,9857,54.799999,0.2
21.036932,0.93045759,54043,92.900002,0.65980273,52.799999,3147,25447,28470,65.199997,0.2
40.727921,0,19950,90.099998,0.64289695,32.099998,1647,8975,10728,53.5,0.30000001
18.223583,0,5300,96.5,0.5588361,45.599998,398,2337,3006,0,0
16.512537,0,20370,93.5,0.56587738,48.700001,1419,9882,10465,53,0
19.567772,3.155968,51287,88.900002,0.57546514,50,3621,23110,27809,46.599998,0.2
16.747572,0,412,0,0.70303029,45.400002,29,165,253,0,0
27.122211,12.828736,14328,92.099998,0.52278936,41.200001,1008,6955,7054,48.200001,0.2
26.241327,9.5156536,18508,89.400002,0.5519734,39.099998,1283,8716,9499,27.6,0
22.622519,0,21405,90.900002,0.54701358,42.200001,1457,10146,10973,51.900002,0.1
29.906116,0,24373,93.199997,0.60525149,41,1794,11273,12609,53.700001,0.60000002
25.337244,0,1705,0,0.58771932,46.400002,143,684,923,0,0
16.019957,0,1804,0,0.41518986,51.400002,91,790,1118,0,0
17.186859,0,4882,95.400002,0.62601185,48.400002,321,1853,2619,0,0
18.23181,0,2429,0,0.50816697,70.5,132,1102,1427,0,0.60000002
29.383741,0,13119,87.5,0.61886615,41.299999,1003,6297,6866,55.400002,0.1
21.169947,0,118275,89.699997,0.56538349,38.400002,7360,55488,63657,87.099998,1.9
38.727028,10.006003,11332,85.699997,0.58917195,43,914,5338,5527,30.299999,0.1
22.78524,0,5903,95.400002,0.58772618,46.799999,461,2542,3349,0,0.40000001
47.971107,0,4707,83.5,0.5633803,34.799999,363,2201,2154,0,0
29.467455,0,845,0,0.67228913,46.099998,62,415,436,0,0
19.395134,0,3049,83.699997,0.45181134,40.299999,180,1463,1480,0,0
18.860334,0,4475,93.099998,0.64312464,46,325,1869,2348,0,0.60000002
21.126183,0,2455,0,0.63729507,45.900002,171,976,1513,0,0
19.931118,0,6692,93.599998,0.57393897,37.5,476,3016,3625,0,0.1
24.846136,1.9761088,72311,90.900002,0.60117334,43.400002,5042,35454,37106,36.400002,0.1
25.740843,0,9229,94.599998,0.58288485,38,660,3716,5275,0,0
24.279943,3.3964698,65042,80.900002,0.40995735,40,3307,33523,33151,19.4,14.6
27.63995,1.2753638,73583,85.900002,0.50669956,33.299999,4916,33211,40820,18.700001,20.6
22.176481,2.3946464,766945,89.5,0.47558045,47.799999,34343,334179,461133,100,53.900002
34.337242,2.9160471,77082,84.800003,0.63375235,47.5,4722,41289,34147,49.599998,26.200001
51.254799,0,7294,84.699997,0.51099193,20.5,545,3730,3649,36.299999,21.700001
30.749159,1.1791062,67450,83.199997,0.45079285,43.900002,4287,35757,32181,6.5,14.7
42.009281,0,12675,88.400002,0.53973132,26.799999,952,6179,6355,38.599998,23.1
17.645664,1.008985,111537,87.199997,0.44653964,54.299999,5803,56107,58555,54.099998,11.1
24.055037,1.8332601,333644,89.400002,0.51430303,49.599998,17634,136894,203221,96.599998,16.4
57.237354,0,7745,86.599998,0.62977868,20.4,689,3479,3741,0,16
25.594164,0,12799,84.599998,0.50405109,41.200001,609,4073,8685,58.700001,5.6999998
44.912281,0,9215,91.099998,0.60602582,32.200001,560,3485,5700,0,17.799999
35.839085,0,19638,80.5,0.45655495,37.400002,1204,9817,9730,35.099998,13.6
30.948858,7.8019857,15741,76.300003,0.46049631,41.5,1058,7012,8822,50,14.5
46.034115,0,20391,87.699997,0.56736022,30.1,1548,9516,10390,47.099998,30.200001
22.276672,2.3400846,936074,88.599998,0.49643958,46.599998,49110,395881,570731,95.599998,14.7
43.443836,6.9141951,11318,78.400002,0.49235541,26.5,728,4513,7229,50.400002,21.700001
48.148148,0,4518,79.900002,0.5354839,21.200001,332,2170,2240,0,14.5
26.250204,2.0446594,456762,85.400002,0.47493899,41.400002,27555,224193,237059,85.199997,23.200001
27.532341,2.982152,174057,89.099998,0.48062992,40.400002,11556,91378,83732,73.699997,20.6
46.238785,15.810277,4539,72.800003,0.45984328,28.799999,274,2042,2440,0,38
58.894302,0,6566,81.300003,0.54071426,27.5,449,2800,3693,47.099998,21.200001
60.159882,2.4948232,43002,84,0.52650541,21.9,2969,19430,22060,44.200001,59.400002
54.482758,0,2900,91.5,0.58146489,22.9,252,1338,1543,0,11.4
38.728931,0,3193,0,0.44115713,15.7,175,1521,1593,0,34.299999
34.703712,0,9808,92,0.51939029,32.799999,749,5183,4796,42.400002,24
59.030724,11.096316,7801,89.699997,0.61687952,22.5,684,3602,3831,0,44.5
43.960709,5.2026429,12206,75.699997,0.48982078,27.200001,945,5747,6685,27.6,9.1999998
35.624142,0,8234,78.900002,0.45891276,28.5,576,3955,4137,38.400002,24.4
43.968445,4.0515356,11020,85.900002,0.49735224,29.700001,692,4721,6378,29.5,21
35.320709,6.726759,21206,90.599998,0.5301584,33.400002,1310,8903,12364,61,20.9
27.955431,1.35168,398669,85.199997,0.48704007,36.599998,24287,179708,225790,79.800003,14
62.141766,0,11159,87.800003,0.62518269,16.9,998,4789,5939,0,4.1999998
30.570616,0,25819,85.199997,0.51234156,43,1449,10493,14897,48.799999,21.299999
52.514587,0,37026,86.099998,0.58561981,26.299999,3705,18442,17725,19.799999,31
59.985928,9.9443121,9986,86.699997,0.55037397,26.1,788,4546,4642,0,59.099998
39.095207,0,2962,91.099998,0.5720824,23.700001,245,1311,1587,0,11.9
38.405968,1.5247157,57301,84.800003,0.50927776,38.799999,3624,23551,34519,47.299999,19.4
30.456213,4.1815462,54595,82.400002,0.51251918,42.400002,3107,22126,32847,49.299999,15.7
31.729824,1.8137134,75717,88.699997,0.62313938,49.400002,4476,40779,34769,64.900002,32.700001
52.087399,0,10325,90.599998,0.565534,24.1,794,4532,5662,0,30.200001
48.869347,0,3184,80.900002,0.55548173,23.299999,251,1505,1618,0,15.2
58.904785,14.165309,14197,89.800003,0.61270756,23,1240,6925,6886,22.9,47.5
32.101219,1.1873382,68937,87.300003,0.57437015,37.599998,3708,24331,45318,62.099998,15.1
44.036591,0,51905,90.800003,0.56471652,33.599998,3767,23263,28158,32.400002,34.900002
28.277899,2.8313372,16876,87.300003,0.5161438,40.299999,905,6566,10430,28.299999,20
24.959764,0,48374,72.5,0.3426823,42.400002,2294,25493,24421,70.900002,10
37.418636,6.6577897,17149,90,0.52741277,28.4,1292,8828,8300,42.299999,24.9
22.288345,2.9816628,61253,86.599998,0.40953097,54.400002,3425,34603,27748,49.200001,6.5
31.400063,0,6804,91.800003,0.53699285,27.200001,660,3352,3064,45.900002,16.4
23.018929,1.9506269,264412,87.400002,0.47392666,48.799999,15050,124610,145314,77.800003,14.8
39.611618,0,18702,88.900002,0.52675253,32.599998,977,6990,12104,58.799999,10.4
27.657507,2.0090983,231579,87.199997,0.50172609,45.799999,12128,93565,139286,82.800003,22.799999
39.680649,4.4461241,36375,89.599998,0.53645831,27.799999,2167,13824,23305,30.4,11.1
24.541941,2.0707793,375570,87.300003,0.52293581,43.900002,16874,118374,262327,91.099998,8.8000002
31.157862,1.6049045,195695,84.800003,0.51287854,35.200001,12732,90577,107098,61.799999,18.4
41.741535,0,32100,86,0.54363215,33.599998,2156,15115,16804,34.200001,31.1
37.137516,0,29863,90.199997,0.59609878,40.299999,2059,13278,16896,49.099998,27.299999
32.324623,0,39273,89.199997,0.53711993,36.900002,2426,17430,22043,64.300003,32.400002
30.515427,0,29123,84.699997,0.41658565,37.599998,1981,16460,13173,13.9,6.8000002
23.559601,2.1684213,76878,87.599998,0.52756518,47.599998,3932,26918,51109,68.400002,9.6000004
33.421215,1.3857421,56231,88,0.49379906,43.599998,3246,26367,28639,49.099998,24.6
52.28672,0,11461,95.5,0.55489671,27.4,883,5228,6450,0,25.700001
51.761135,0,14978,88.300003,0.5898062,23.6,1269,6965,7964,43.700001,27.200001
43.612301,0,13381,84.199997,0.53781641,25.799999,939,6439,6620,61,24.6
42.275345,0,6357,84.699997,0.39104673,19.9,390,3038,3569,0,26.700001
29.915768,2.6530478,125107,89,0.57301342,46.900002,6464,45430,81309,61.400002,16.799999
60.230812,0,5462,91.699997,0.59150457,21.700001,426,2519,2654,0,28.5
